;bgp;CDG;HND;IAD;LHR;MIA;POA;SYD
0;baseline;7.22;0.0;15.282;23.385;15.967;20.984;17.163
1;-1xCDG;46.345;0.0;14.659;13.11;9.759;14.72;1.407
2;-1xHND;6.913;0.0;19.157;22.31;18.799;23.553;9.27
3;-1xIAD;4.149;0.0;47.385;14.889;9.33;6.785;17.463
4;-1xLHR;2.424;0.0;15.031;54.094;12.392;14.555;1.505
5;-1xMIA;1.648;0.0;15.833;12.782;53.621;14.898;1.218
6;-1xPOA;2.376;0.0;15.297;14.831;14.031;46.446;7.019
7;-1xSYD;2.488;0.0;15.796;13.694;9.009;14.102;44.91
8;-2xCDG;55.03;0.0;14.598;9.806;9.241;10.008;1.315
9;-2xHND;6.219;0.0;18.978;26.179;19.631;21.797;7.196
10;-2xIAD;0.996;0.0;83.118;4.889;3.618;2.335;5.044
11;-2xLHR;2.044;0.0;15.172;64.582;8.892;8.047;1.264
12;-2xMIA;1.157;0.0;15.45;8.938;62.908;10.331;1.215
13;-2xPOA;1.933;0.0;14.639;10.778;12.569;54.674;5.407
14;-2xSYD;1.493;0.0;15.838;11.054;4.191;9.455;57.968
15;-3xCDG;55.487;0.0;15.043;8.865;9.124;10.169;1.311
16;-3xHND;7.16;0.0;19.555;24.441;20.02;21.182;7.641
17;-3xIAD;0.779;0.0;86.321;3.072;3.107;2.251;4.47
18;-3xLHR;1.97;0.0;18.72;64.286;9.507;4.282;1.235
19;-3xMIA;1.175;0.0;15.747;8.911;62.497;10.44;1.229
20;-3xPOA;1.91;0.0;14.535;9.86;8.858;59.704;5.133
21;-3xSYD;1.474;0.0;15.701;10.608;4.099;9.41;58.707
22;-4xCDG;55.797;0.0;15.115;8.6;9.043;10.176;1.269
23;-4xHND;6.885;0.0;16.321;23.811;23.447;21.327;8.209
24;-4xIAD;0.77;0.0;87.362;2.408;3.1;2.196;4.165
25;-4xLHR;2.009;0.0;22.526;64.402;9.559;0.267;1.237
26;-4xMIA;1.095;0.0;15.561;8.762;63.122;10.247;1.213
27;-4xPOA;8.679;0.0;19.147;0.0;5.517;61.742;4.915
28;-4xSYD;1.569;0.0;15.781;10.412;4.04;9.287;58.912
29;-5xCDG;57.08;0.0;14.251;8.602;8.663;10.135;1.268
30;-5xHND;6.831;0.0;15.499;24.66;23.62;21.143;8.247
31;-5xIAD;0.768;0.0;88.109;1.681;3.089;2.191;4.162
32;-5xLHR;1.839;0.0;13.666;64.003;8.65;10.611;1.232
33;-5xMIA;1.078;0.0;14.501;8.648;64.354;10.215;1.203
34;-5xPOA;8.742;0.0;18.243;0.0;6.359;61.763;4.893
35;-5xSYD;1.463;0.0;14.989;10.702;4.071;9.349;59.425
36;0xCDG;0.0;0.0;15.588;26.697;16.88;23.339;17.496
37;0xHND;8.942;0.0;15.233;24.067;15.32;19.695;16.742
38;0xIAD;17.145;0.02;0.0;24.442;17.48;22.616;18.317
39;0xLHR;16.779;0.0;21.819;0.0;17.754;24.234;19.415
40;0xMIA;8.398;0.0;16.538;28.653;0.0;24.212;22.2
41;0xPOA;10.325;0.0;25.326;26.95;20.707;0.0;16.692
42;0xSYD;13.979;0.0;15.434;24.45;24.629;21.509;0.0
43;1xCDG;0.792;0.0;15.311;25.714;16.926;22.995;18.262
44;1xHND;8.422;0.0;15.079;23.815;15.127;19.626;17.931
45;1xIAD;7.289;0.0;14.604;22.512;16.807;21.059;17.729
46;1xLHR;15.142;0.0;17.184;7.944;17.448;22.628;19.655
47;1xMIA;7.818;0.0;15.008;27.628;3.814;22.311;23.422
48;1xPOA;7.904;0.0;24.698;27.352;19.044;3.645;17.357
49;1xSYD;13.255;0.0;15.052;23.845;25.01;21.344;1.494
50;2xCDG;0.701;0.0;15.44;25.859;16.888;23.019;18.094
51;2xHND;7.353;0.0;15.126;25.106;15.506;19.724;17.185
52;2xIAD;7.034;0.0;14.616;25.023;16.185;19.731;17.41
53;2xLHR;15.836;0.0;20.188;3.028;17.794;23.689;19.465
54;2xMIA;7.684;0.0;16.15;30.332;2.353;20.392;23.089
55;2xPOA;8.231;0.0;24.251;27.585;19.669;2.933;17.332
56;2xSYD;12.146;0.0;15.152;25.296;24.57;21.388;1.447
57;3xCDG;0.622;0.0;15.4;25.834;16.933;22.946;18.265
58;3xHND;7.341;0.0;15.024;25.078;15.41;19.588;17.559
59;3xIAD;7.133;0.0;14.623;25.103;16.047;19.66;17.433
60;3xLHR;15.918;0.0;21.081;1.968;17.809;23.624;19.601
61;3xMIA;7.772;0.0;16.132;30.231;2.33;20.288;23.247
62;3xPOA;8.153;0.0;24.483;27.597;19.453;2.914;17.4
63;3xSYD;12.133;0.0;15.118;25.265;24.644;21.398;1.442
64;4xCDG;0.627;0.0;15.561;25.724;16.813;23.402;17.871
65;4xHND;7.356;0.0;15.628;24.569;15.55;19.739;17.157
66;4xIAD;7.094;0.0;14.62;25.139;16.087;19.733;17.328
67;4xLHR;16.293;0.0;21.363;0.0;18.284;24.559;19.502
68;4xMIA;7.743;0.0;16.091;30.527;2.341;20.364;22.933
69;4xPOA;8.042;0.0;25.767;27.28;18.871;2.962;17.079
70;4xSYD;12.088;0.0;15.734;24.776;24.382;21.571;1.449
71;5xCDG;0.629;0.0;15.426;25.878;16.954;22.979;18.135
72;5xHND;7.313;0.0;15.144;25.152;15.518;19.764;17.11
73;5xIAD;7.154;0.0;14.324;25.636;16.066;19.925;16.895
74;5xLHR;16.2;0.0;21.36;0.0;18.336;24.464;19.64
75;5xMIA;7.77;0.0;16.74;30.034;2.346;20.381;22.729
76;5xPOA;9.061;0.0;23.331;27.621;19.662;2.913;17.411
77;5xSYD;12.156;0.0;15.172;25.287;24.456;21.485;1.445
